"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,086;0,692;0,108;0,826;1000;0,005;6;10
1,09;0,776;0,106;0,832;1500;0,005;6;10
1,094;0,802;0,104;0,832;1700;0,005;6;10
1,098;0,834;0,104;0,836;2000;0,005;6;10
1,102;0,9;0,106;0,844;3000;0,005;6;10
1,072;0,764;0,122;0,816;500;0,01;8;10
1,086;0,888;0,12;0,834;1000;0,01;8;10
1,092;0,94;0,118;0,838;1500;0,01;8;10
1,09;0,952;0,118;0,84;1700;0,01;8;10
1,096;0,962;0,12;0,842;2000;0,01;8;10
1,1;0,988;0,122;0,852;3000;0,01;8;10
1,086;0,886;0,12;0,828;500;0,02;8;10
1,096;0,962;0,118;0,844;1000;0,02;8;10
1,098;0,988;0,122;0,848;1500;0,02;8;10
1,1;0,99;0,122;0,85;1700;0,02;8;10
1,104;0,992;0,122;0,854;2000;0,02;8;10
1,104;1;0,122;0,86;3000;0,02;8;10
1,11;0,976;0,112;0,87;500;0,05;8;10
1,108;1;0,116;0,874;1000;0,05;8;10
1,114;1;0,114;0,876;1500;0,05;8;10
1,114;1;0,114;0,878;1700;0,05;8;10
1,114;1;0,114;0,878;2000;0,05;8;10
1,114;1;0,114;0,878;3000;0,05;8;10
1,088;0,462;0,1;0,842;500;0,001;8;10
1,078;0,514;0,1;0,828;1000;0,001;8;10
1,072;0,556;0,104;0,822;1500;0,001;8;10
1,074;0,574;0,106;0,822;1700;0,001;8;10
1,072;0,596;0,106;0,822;2000;0,001;8;10
1,076;0,666;0,11;0,822;3000;0,001;8;10
1,078;0,51;0,1;0,828;500;0,002;8;10
1,078;0,596;0,102;0,826;1000;0,002;8;10
1,076;0,662;0,104;0,824;1500;0,002;8;10
1,078;0,688;0,106;0,822;1700;0,002;8;10
1,082;0,72;0,108;0,824;2000;0,002;8;10
1,084;0,802;0,108;0,826;3000;0,002;8;10
1,07;0,63;0,112;0,82;500;0,005;8;10
1,084;0,764;0,112;0,822;1000;0,005;8;10
1,088;0,84;0,11;0,83;1500;0,005;8;10
1,092;0,862;0,112;0,832;1700;0,005;8;10
1,094;0,89;0,11;0,834;2000;0,005;8;10
1,096;0,94;0,114;0,838;3000;0,005;8;10
1,102;0,35;0,068;0,844;500;0,01;3;30
1,118;0,478;0,064;0,854;1000;0,01;3;30
1,136;0,568;0,058;0,872;1500;0,01;3;30
1,142;0,594;0,056;0,876;1700;0,01;3;30
1,146;0,632;0,054;0,882;2000;0,01;3;30
1,17;0,722;0,046;0,904;3000;0,01;3;30
1,122;0,474;0,058;0,858;500;0,02;3;30
1,15;0,628;0,054;0,884;1000;0,02;3;30
1,172;0,718;0,048;0,906;1500;0,02;3;30
1,178;0,746;0,048;0,914;1700;0,02;3;30
1,188;0,778;0,048;0,922;2000;0,02;3;30
1,212;0,854;0,042;0,948;3000;0,02;3;30
1,172;0,672;0,044;0,912;500;0,05;3;30
1,208;0,814;0,038;0,948;1000;0,05;3;30
1,234;0,884;0,036;0,968;1500;0,05;3;30
1,24;0,904;0,036;0,978;1700;0,05;3;30
1,252;0,924;0,032;0,984;2000;0,05;3;30
1,276;0,96;0,034;1,004;3000;0,05;3;30
1,102;0,172;0,058;0,854;500;0,001;3;30
1,096;0,198;0,06;0,846;1000;0,001;3;30
1,094;0,218;0,064;0,846;1500;0,001;3;30
1,096;0,226;0,066;0,844;1700;0,001;3;30
1,094;0,24;0,068;0,842;2000;0,001;3;30
1,098;0,28;0,068;0,846;3000;0,001;3;30
1,094;0,196;0,062;0,844;500;0,002;3;30
1,094;0,238;0,064;0,844;1000;0,002;3;30
1,098;0,282;0,068;0,846;1500;0,002;3;30
1,098;0,296;0,068;0,842;1700;0,002;3;30
1,098;0,32;0,068;0,846;2000;0,002;3;30
1,108;0,386;0,068;0,846;3000;0,002;3;30
1,094;0,26;0,068;0,84;500;0,005;3;30
1,102;0,352;0,068;0,846;1000;0,005;3;30
1,112;0,426;0,066;0,85;1500;0,005;3;30
1,114;0,45;0,066;0,854;1700;0,005;3;30
1,12;0,482;0,064;0,856;2000;0,005;3;30
1,134;0,57;0,056;0,872;3000;0,005;3;30
1,102;0,36;0,07;0,844;500;0,01;5;30
1,12;0,486;0,064;0,86;1000;0,01;5;30
1,136;0,58;0,054;0,872;1500;0,01;5;30
1,142;0,606;0,056;0,878;1700;0,01;5;30
1,15;0,642;0,052;0,884;2000;0,01;5;30
1,172;0,732;0,046;0,904;3000;0,01;5;30
1,124;0,486;0,06;0,86;500;0,02;5;30
1,15;0,64;0,054;0,884;1000;0,02;5;30
1,172;0,73;0,046;0,908;1500;0,02;5;30
1,176;0,758;0,046;0,912;1700;0,02;5;30
1,184;0,79;0,046;0,922;2000;0,02;5;30
1,212;0,864;0,044;0,946;3000;0,02;5;30
1,16;0,686;0,048;0,906;500;0,05;5;30
1,2;0,824;0,044;0,94;1000;0,05;5;30
1,222;0,894;0,04;0,958;1500;0,05;5;30
1,228;0,908;0,04;0,968;1700;0,05;5;30
1,236;0,926;0,038;0,972;2000;0,05;5;30
1,262;0,964;0,038;0,992;3000;0,05;5;30
1,102;0,176;0,058;0,854;500;0,001;5;30
1,096;0,2;0,06;0,846;1000;0,001;5;30
1,094;0,222;0,066;0,846;1500;0,001;5;30
1,096;0,228;0,066;0,842;1700;0,001;5;30
1,094;0,246;0,068;0,842;2000;0,001;5;30
1,098;0,288;0,068;0,844;3000;0,001;5;30
1,094;0,2;0,062;0,844;500;0,002;5;30
1,094;0,246;0,064;0,844;1000;0,002;5;30
1,098;0,288;0,068;0,844;1500;0,002;5;30
1,096;0,304;0,068;0,842;1700;0,002;5;30
1,098;0,326;0,066;0,846;2000;0,002;5;30
1,108;0,392;0,068;0,846;3000;0,002;5;30
1,094;0,266;0,068;0,84;500;0,005;5;30
1,1;0,36;0,07;0,844;1000;0,005;5;30
1,11;0,434;0,064;0,85;1500;0,005;5;30
1,114;0,458;0,066;0,852;1700;0,005;5;30
1,118;0,492;0,064;0,854;2000;0,005;5;30
1,136;0,58;0,058;0,872;3000;0,005;5;30
1,102;0,36;0,07;0,844;500;0,01;6;30
1,12;0,486;0,064;0,86;1000;0,01;6;30
1,136;0,58;0,054;0,872;1500;0,01;6;30
1,142;0,606;0,056;0,878;1700;0,01;6;30
1,15;0,642;0,052;0,884;2000;0,01;6;30
1,172;0,732;0,046;0,904;3000;0,01;6;30
1,124;0,486;0,06;0,86;500;0,02;6;30
1,15;0,64;0,054;0,884;1000;0,02;6;30
1,172;0,73;0,046;0,908;1500;0,02;6;30
