"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,054;0,798;0,164;0,81;1300;1;100
1,054;0,8;0,164;0,808;1500;1;100
1,052;0,8;0,164;0,806;1700;1;100
1,056;0,8;0,16;0,812;2000;1;100
1,04;0,914;0,168;0,79;100;2;100
1,04;0,924;0,17;0,796;300;2;100
1,044;0,922;0,162;0,796;500;2;100
1,044;0,926;0,158;0,798;700;2;100
1,042;0,926;0,16;0,798;900;2;100
1,042;0,926;0,162;0,798;1000;2;100
1,042;0,926;0,164;0,798;1300;2;100
1,04;0,926;0,166;0,798;1500;2;100
1,04;0,924;0,168;0,796;1700;2;100
1,042;0,926;0,168;0,796;2000;2;100
1,046;0,924;0,144;0,804;100;3;100
1,044;0,932;0,154;0,802;300;3;100
1,044;0,934;0,156;0,798;500;3;100
1,04;0,934;0,16;0,798;700;3;100
1,044;0,934;0,158;0,798;900;3;100
1,04;0,934;0,16;0,798;1000;3;100
1,04;0,934;0,162;0,796;1300;3;100
1,04;0,934;0,158;0,796;1500;3;100
1,042;0,934;0,158;0,796;1700;3;100
1,04;0,936;0,162;0,796;2000;3;100
1,042;0,926;0,158;0,798;100;4;100
1,044;0,934;0,148;0,8;300;4;100
1,044;0,94;0,15;0,802;500;4;100
1,046;0,938;0,156;0,798;700;4;100
1,042;0,938;0,158;0,798;900;4;100
1,042;0,938;0,156;0,798;1000;4;100
1,042;0,938;0,158;0,798;1300;4;100
1,042;0,938;0,158;0,796;1500;4;100
1,042;0,938;0,16;0,796;1700;4;100
1,042;0,938;0,158;0,798;2000;4;100
1,04;0,93;0,158;0,794;100;5;100
1,044;0,936;0,152;0,796;300;5;100
1,046;0,938;0,15;0,798;500;5;100
1,044;0,938;0,158;0,794;700;5;100
1,044;0,94;0,156;0,8;900;5;100
1,042;0,94;0,158;0,794;1000;5;100
1,044;0,94;0,152;0,8;1300;5;100
1,044;0,94;0,156;0,798;1500;5;100
1,046;0,94;0,152;0,8;1700;5;100
1,044;0,94;0,156;0,8;2000;5;100
1,056;0,928;0,138;0,806;100;6;100
1,05;0,936;0,146;0,804;300;6;100
1,048;0,936;0,148;0,8;500;6;100
1,046;0,938;0,146;0,802;700;6;100
1,044;0,94;0,15;0,798;900;6;100
1,044;0,94;0,152;0,798;1000;6;100
1,044;0,94;0,154;0,796;1300;6;100
1,044;0,94;0,154;0,796;1500;6;100
1,044;0,94;0,152;0,798;1700;6;100
1,044;0,94;0,152;0,798;2000;6;100
1,05;0,928;0,146;0,802;100;7;100
1,042;0,938;0,154;0,798;300;7;100
1,042;0,938;0,156;0,798;500;7;100
1,046;0,94;0,156;0,798;700;7;100
1,044;0,94;0,156;0,798;900;7;100
1,044;0,94;0,154;0,8;1000;7;100
1,046;0,94;0,154;0,798;1300;7;100
1,046;0,94;0,152;0,8;1500;7;100
1,046;0,94;0,152;0,8;1700;7;100
1,044;0,94;0,15;0,798;2000;7;100
1,044;0,932;0,154;0,802;100;8;100
