"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,98;0,69;0,076;2,404;2000;8;30
3,008;0,684;0,068;2,42;100;9;30
2,994;0,688;0,07;2,412;300;9;30
2,992;0,69;0,074;2,408;500;9;30
2,986;0,69;0,074;2,408;700;9;30
2,984;0,69;0,076;2,41;900;9;30
2,982;0,692;0,076;2,41;1000;9;30
2,98;0,694;0,078;2,408;1300;9;30
2,982;0,694;0,08;2,408;1500;9;30
2,982;0,692;0,078;2,41;1700;9;30
2,984;0,69;0,078;2,41;2000;9;30
2,984;0,724;0,076;2,418;100;1;50
2,97;0,746;0,082;2,414;300;1;50
2,968;0,748;0,084;2,408;500;1;50
2,964;0,746;0,088;2,404;700;1;50
2,964;0,75;0,088;2,404;900;1;50
2,964;0,752;0,09;2,4;1000;1;50
2,962;0,75;0,09;2,404;1300;1;50
2,962;0,75;0,092;2,398;1500;1;50
2,962;0,746;0,09;2,398;1700;1;50
2,962;0,75;0,09;2,402;2000;1;50
2,948;0,776;0,098;2,368;100;2;50
2,962;0,79;0,086;2,388;300;2;50
2,952;0,794;0,09;2,378;500;2;50
2,946;0,792;0,098;2,372;700;2;50
2,952;0,794;0,094;2,378;900;2;50
2,95;0,794;0,094;2,378;1000;2;50
2,948;0,794;0,096;2,378;1300;2;50
2,95;0,794;0,096;2,378;1500;2;50
2,952;0,794;0,096;2,378;1700;2;50
2,952;0,794;0,094;2,38;2000;2;50
2,976;0,79;0,082;2,392;100;3;50
2,976;0,796;0,082;2,396;300;3;50
2,968;0,798;0,088;2,39;500;3;50
2,962;0,8;0,086;2,388;700;3;50
2,958;0,8;0,088;2,386;900;3;50
2,96;0,802;0,088;2,386;1000;3;50
2,962;0,802;0,088;2,39;1300;3;50
2,964;0,802;0,086;2,39;1500;3;50
2,962;0,8;0,086;2,39;1700;3;50
2,962;0,8;0,088;2,388;2000;3;50
2,964;0,794;0,09;2,382;100;4;50
2,962;0,804;0,088;2,382;300;4;50
2,964;0,804;0,092;2,382;500;4;50
2,966;0,804;0,09;2,382;700;4;50
2,966;0,804;0,09;2,38;900;4;50
2,964;0,806;0,088;2,382;1000;4;50
2,962;0,804;0,09;2,384;1300;4;50
2,962;0,804;0,092;2,384;1500;4;50
2,962;0,804;0,09;2,384;1700;4;50
2,964;0,804;0,09;2,384;2000;4;50
2,984;0,794;0,08;2,406;100;5;50
2,988;0,808;0,08;2,406;300;5;50
2,98;0,81;0,082;2,4;500;5;50
2,978;0,81;0,08;2,404;700;5;50
2,982;0,81;0,082;2,404;900;5;50
2,98;0,812;0,082;2,404;1000;5;50
2,976;0,81;0,082;2,402;1300;5;50
2,974;0,812;0,082;2,402;1500;5;50
2,972;0,812;0,084;2,398;1700;5;50
2,972;0,812;0,084;2,396;2000;5;50
2,99;0,802;0,078;2,408;100;6;50
2,974;0,808;0,086;2,394;300;6;50
2,974;0,808;0,084;2,392;500;6;50
2,974;0,808;0,084;2,394;700;6;50
2,972;0,812;0,086;2,392;900;6;50
2,972;0,812;0,086;2,392;1000;6;50
2,976;0,814;0,086;2,396;1300;6;50
2,976;0,814;0,084;2,392;1500;6;50
2,976;0,814;0,084;2,394;1700;6;50
2,974;0,814;0,084;2,39;2000;6;50
3,01;0,812;0,068;2,426;100;7;50
2,988;0,818;0,08;2,41;300;7;50
2,99;0,816;0,078;2,406;500;7;50
2,984;0,822;0,082;2,4;700;7;50
2,986;0,82;0,082;2,402;900;7;50
2,978;0,822;0,084;2,396;1000;7;50
2,98;0,822;0,082;2,398;1300;7;50
2,982;0,82;0,082;2,398;1500;7;50
2,982;0,822;0,082;2,396;1700;7;50
2,982;0,82;0,082;2,396;2000;7;50
3,002;0,806;0,074;2,412;100;8;50
2,994;0,814;0,078;2,406;300;8;50
2,99;0,816;0,078;2,412;500;8;50
2,984;0,818;0,08;2,402;700;8;50
2,988;0,818;0,078;2,404;900;8;50
2,988;0,818;0,08;2,404;1000;8;50
2,99;0,818;0,078;2,406;1300;8;50
2,99;0,82;0,08;2,406;1500;8;50
2,986;0,82;0,08;2,404;1700;8;50
2,984;0,82;0,08;2,402;2000;8;50
2,982;0,81;0,082;2,402;100;9;50
2,986;0,82;0,078;2,402;300;9;50
2,984;0,82;0,084;2,398;500;9;50
2,982;0,82;0,084;2,398;700;9;50
2,982;0,82;0,082;2,394;900;9;50
2,982;0,82;0,082;2,392;1000;9;50
2,982;0,824;0,084;2,396;1300;9;50
2,986;0,822;0,08;2,396;1500;9;50
2,986;0,824;0,08;2,394;1700;9;50
2,986;0,824;0,08;2,398;2000;9;50
2,938;0,744;0,11;2,376;100;1;70
2,948;0,762;0,102;2,382;300;1;70
2,95;0,768;0,102;2,388;500;1;70
2,954;0,776;0,098;2,392;700;1;70
2,954;0,778;0,094;2,392;900;1;70
2,958;0,776;0,094;2,394;1000;1;70
2,958;0,778;0,09;2,398;1300;1;70
2,958;0,774;0,09;2,398;1500;1;70
2,958;0,774;0,094;2,394;1700;1;70
2,956;0,776;0,094;2,396;2000;1;70
2,992;0,852;0,08;2,404;100;2;70
2,96;0,868;0,092;2,382;300;2;70
2,96;0,872;0,086;2,382;500;2;70
2,956;0,87;0,092;2,376;700;2;70
2,956;0,874;0,092;2,376;900;2;70
2,96;0,874;0,09;2,378;1000;2;70
2,962;0,874;0,088;2,382;1300;2;70
2,96;0,874;0,09;2,38;1500;2;70
2,962;0,874;0,088;2,382;1700;2;70
2,96;0,874;0,088;2,378;2000;2;70
3,002;0,864;0,07;2,416;100;3;70
2,982;0,876;0,08;2,4;300;3;70
2,97;0,878;0,086;2,388;500;3;70
2,972;0,878;0,08;2,392;700;3;70
2,97;0,878;0,08;2,39;900;3;70
2,972;0,878;0,08;2,39;1000;3;70
2,97;0,88;0,084;2,388;1300;3;70
2,97;0,88;0,086;2,39;1500;3;70
2,97;0,88;0,086;2,388;1700;3;70
2,97;0,878;0,086;2,388;2000;3;70
2,98;0,87;0,08;2,414;100;4;70
2,972;0,876;0,088;2,394;300;4;70
2,972;0,88;0,088;2,392;500;4;70
2,972;0,882;0,088;2,392;700;4;70
2,972;0,882;0,086;2,392;900;4;70
2,97;0,882;0,088;2,392;1000;4;70
2,97;0,882;0,086;2,388;1300;4;70
2,972;0,882;0,086;2,39;1500;4;70
2,974;0,884;0,086;2,392;1700;4;70
2,974;0,884;0,086;2,394;2000;4;70
2,994;0,872;0,08;2,396;100;5;70
2,988;0,882;0,082;2,398;300;5;70
2,988;0,884;0,08;2,404;500;5;70
2,99;0,884;0,08;2,402;700;5;70
2,982;0,884;0,082;2,398;900;5;70
2,982;0,884;0,084;2,4;1000;5;70
2,982;0,884;0,084;2,396;1300;5;70
2,98;0,884;0,086;2,398;1500;5;70
2,982;0,884;0,084;2,398;1700;5;70
2,982;0,884;0,084;2,396;2000;5;70
2,988;0,876;0,084;2,396;100;6;70
2,974;0,88;0,092;2,382;300;6;70
2,976;0,882;0,09;2,386;500;6;70
2,974;0,886;0,092;2,388;700;6;70
2,976;0,884;0,088;2,392;900;6;70
2,976;0,886;0,088;2,39;1000;6;70
2,974;0,886;0,09;2,39;1300;6;70
2,98;0,886;0,088;2,394;1500;6;70
2,98;0,886;0,086;2,392;1700;6;70
2,98;0,886;0,086;2,392;2000;6;70
2,98;0,878;0,082;2,4;100;7;70
2,982;0,888;0,078;2,4;300;7;70
2,986;0,888;0,08;2,4;500;7;70
2,988;0,89;0,082;2,398;700;7;70
2,99;0,89;0,082;2,4;900;7;70
2,988;0,89;0,08;2,402;1000;7;70
2,988;0,89;0,08;2,402;1300;7;70
2,992;0,89;0,08;2,4;1500;7;70
2,99;0,89;0,08;2,4;1700;7;70
2,986;0,89;0,08;2,4;2000;7;70
3,018;0,876;0,066;2,42;100;8;70
