"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,001;3000;3;10;6,09;0,300275877835174;4,68652792957328
0,002;1000;3;10;6,2;0,288001246070497;4,77486034697686
0,002;1500;3;10;6,08;0,303404891292393;4,68188887825925
0,002;1700;3;10;6,06;0,304379940035136;4,65931197651551
0,002;2000;3;10;6,04;0,307764142721461;4,63824738285609
0,002;3000;3;10;5,97;0,317599918312535;4,57559237438612
0,005;1000;3;10;6,01;0,311623234000016;4,60769368736673
0,005;1500;3;10;5,94;0,323016147860933;4,54705308840571
0,005;1700;3;10;5,93;0,324924815688951;4,53468336147987
0,005;2000;3;10;5,91;0,328165483663012;4,51860553006328
0,005;3000;3;10;5,87;0,335320108919879;4,47626359271242
0,01;1000;5;10;5,83;0,345151355764406;4,44935029249254
0,01;1500;5;10;5,8;0,352030570483573;4,41947349044774
0,01;1700;5;10;5,78;0,355677482747992;4,41026254223873
0,01;2000;5;10;5,8;0,351424831273082;4,41605017954757
0,01;3000;5;10;5,77;0,358246062988858;4,4069195144342
0,02;1000;5;10;5,81;0,349531732483017;4,43005234725386
0,02;1500;5;10;5,8;0,352553544178546;4,41576783829813
0,02;1700;5;10;5,81;0,350428572953091;4,4341962563341
0,02;2000;5;10;5,82;0,348496292492873;4,42315040073165
0,02;3000;5;10;5,84;0,347164990964488;4,43399100874571
0,05;1000;5;10;5,87;0,341653828332375;4,45027289755905
0,05;1500;5;10;5,93;0,330171699751784;4,51918872751213
0,05;1700;5;10;5,97;0,324717064945669;4,52693831276847
0,05;2000;5;10;5,95;0,331501702207669;4,52731044661334
0,05;3000;5;10;5,99;0,325807529028728;4,54665718586561
0,001;1000;5;10;6,32;0,296527559488077;4,8761574032877
0,001;1500;5;10;6,16;0,307781868294222;4,74433153181405
0,001;1700;5;10;6,12;0,310722686365606;4,7082916201485
0,001;2000;5;10;6,08;0,312511843325004;4,67023141336699
0,001;3000;5;10;5,98;0,322596811895235;4,5828560584596
0,002;1000;5;10;6,07;0,313780819846269;4,66794225323966
0,002;1500;5;10;5,98;0,323337602004506;4,58403035274294
0,002;1700;5;10;5,96;0,323902694384278;4,56282628841121
