"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,02;1700;8;5;3,53;0,266330249547079;2,75221798366423
0,02;2000;8;5;3,51;0,274725939397191;2,7387631390763
0,02;3000;8;5;3,6;0,248766765730469;2,78726256747648
0,05;1000;8;5;3,66;0,23065737815081;2,83966849005518
0,05;1500;8;5;3,66;0,229123281376207;2,83806368457074
0,05;1700;8;5;3,67;0,228153322698067;2,83483741812202
0,05;2000;8;5;3,71;0,217340376521434;2,88330594937467
0,05;3000;8;5;3,69;0,2230083449609;2,86668264614076
0,001;1000;8;5;3,6;0,274529434335038;2,78717685746857
0,001;1500;8;5;3,53;0,276572879896721;2,73268847418468
0,001;1700;8;5;3,51;0,278423133397104;2,71845570150694
0,001;2000;8;5;3,5;0,2785738910265;2,70845289636849
0,001;3000;8;5;3,47;0,283748101278621;2,685104317956
0,002;1000;8;5;3,5;0,277040597166243;2,71361684901159
0,002;1500;8;5;3,47;0,282877886415844;2,68722024309334
0,002;1700;8;5;3,46;0,287438579766048;2,67891270978178
0,002;2000;8;5;3,45;0,289438175980681;2,67142869248617
0,002;3000;8;5;3,44;0,293730230237065;2,66306590665627
0,005;1000;8;5;3,44;0,291006447192395;2,66987091468277
0,005;1500;8;5;3,46;0,285831383605701;2,67488999439286
0,005;1700;8;5;3,44;0,292115503547106;2,66126774442946
0,005;2000;8;5;3,43;0,294156300688053;2,6629744573796
0,005;3000;8;5;3,47;0,28268817129768;2,69476662523077
0,01;1000;10;5;3,45;0,287273404471247;2,6818713703582
0,01;1500;10;5;3,49;0,278859634847833;2,70300419170145
0,01;1700;10;5;3,5;0,278109682564177;2,70083481821935
0,01;2000;10;5;3,51;0,271147122704369;2,73237936477306
0,01;3000;10;5;3,53;0,266875620339284;2,72736967859755
0,02;1000;10;5;3,5;0,277391985930352;2,71355413271186
0,02;1500;10;5;3,52;0,269944964761927;2,73203161489307
0,02;1700;10;5;3,56;0,259316455558845;2,75920809926497
0,02;2000;10;5;3,62;0,241714322274546;2,81543824065435
0,02;3000;10;5;3,62;0,245028201578207;2,80370406288593
0,05;1000;10;5;3,66;0,239403912333196;2,82457300452937
