"BM_tot";"CaCO3";"gps_x";"P";"CEC";"sand";"gps_y";"CN";"hurs_mean";"pH";"N";"gdd10";"silt";"bio4";"clay";"bio3";"K";"bio12";"bio7";"gdd0";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
205,879583333333;19,7454280853271;2,73966944;20,5415306091309;9,09603309631348;75;48,4667361;15,5652685165405;621,4;6,1;1,69106912612915;1189;18,2;5,716;6,7;0,333999991416931;206,978881835938;674,1;23,1;4147,3;0;1;0;0;0;0
79,4966666666667;86,439094543457;2,468334;44,0958404541016;17,1418914794922;63,1;48,403304;10,8661003112793;625,2;6,3;1,41507756710052;1185,2;19,5;5,661;17,4;0,335999989509583;237,258636474609;682,1;23;4159,3;0;1;0;0;0;0
20,9758333333333;23,9458484649658;2,688094;34,6315612792969;14,430567741394;79,6;48,401231;13,5445213317871;629;6,4;1,64734494686127;1176,5;15,2;5,695;5,2;0,334999990463257;325,483795166016;726,4;23;4132;0;1;0;0;0;0
35,6125;23,9458484649658;2,688094;34,6315612792969;14,430567741394;79,6;48,401231;13,5445213317871;629;6,4;1,64734494686127;1176,5;15,2;5,695;5,2;0,334999990463257;325,483795166016;726,4;23;4132;0;1;0;0;0;0
216,186666666667;47,7313575744629;2,129436;25,5983734130859;14,3807649612427;38,6;48,775495;12,7483701705933;635,6;6,4;1,70492434501648;1034,4;43,6;5,414;17,8;0,342000007629395;198,442367553711;720,4;22,2;3945,8;1;0;0;0;0;0
83,33375;7,37327432632446;2,000223;44,363826751709;12,2085227966309;16,6;48,784365;11,6471338272095;640,5;6;1,96294581890106;1011,5;64,5;5,38;18,9;0,344000005722046;240,092849731445;721;22;3912,3;0;1;0;0;0;0
69,0770833333333;57,5615234375;2,13828;31,5599956512451;17,1261806488037;35;48,79577;14,7534246444702;634,7;6,8;1,51311922073364;1034,5;48,1;5,398;16,9;0,34300000667572;236,764297485352;711,9;22,2;3951,8;0;1;0;0;0;0
109,292916666667;46,736629486084;2,02044;42,7209281921387;13,0973682403564;46,9;48,944034;11,0456705093384;626,2;7;1,8660147190094;1135,9;34,8;5,421;18,2;0,341000008583069;324,889617919922;652,6;22;4134,4;0;1;0;0;0;0
78,4333333333333;48,2375602722168;2,060341;25,387186050415;13,2345590591431;35;48,695767;14,4623069763184;633,9;6,4;1,91175043582916;1095,5;50,2;5,485;14,9;0,340000009536743;221,996932983398;692,1;22,3;4043,3;0;1;0;0;0;0
105,19125;134,239395141602;2,218905;43,3682174682617;20,4522972106934;48,8;48,579989;9,67032337188721;624,4;7;1,85854732990265;1150,3;29,1;5,566;22,1;0,336999988555908;296,070190429688;653,7;22,6;4119,6;0;1;0;0;0;0
76,5329166666667;77,1071929931641;2,15423;33,9789810180664;16,3573875427246;33,1;48,794969;12,2893686294556;635,4;6,6;1,59627771377563;1065,9;50,8;5,461;16,2;0,341000008583069;275,941162109375;719,1;22,2;3991,5;0;1;0;0;0;0
169,008333333333;77,1071929931641;2,15423;33,9789810180664;16,3573875427246;33,1;48,794969;12,2893686294556;635,4;6,6;1,59627771377563;1065,9;50,8;5,461;16,2;0,341000008583069;275,941162109375;719,1;22,2;3991,5;0;1;0;0;0;0
135,163333333333;77,1071929931641;2,154318;33,9789810180664;16,3573875427246;33,1;48,794923;12,2893686294556;635,4;6,6;1,59627771377563;1065,9;50,8;5,461;16,2;0,341000008583069;275,941162109375;719,1;22,2;3991,5;0;1;0;0;0;0
119,14625;55,344165802002;1,730223;43,6379814147949;15,3890190124512;57,7;48,988741;11,9499473571777;628,7;7,1;2,03510928153992;1118,8;27,3;5,357;15,1;0,34300000667572;265,765716552734;646,2;21,9;4125,2;0;1;0;0;0;0
54,6404166666667;75,3767318725586;1,73547;40,9531364440918;13,8574638366699;59,6;48,992476;11,513614654541;630,1;7,2;1,668044090271;1088,4;24,4;5,326;16;0,344000005722046;293,181274414062;658,8;21,8;4076,4;0;1;0;0;0;0
124,741666666667;79,0768585205078;1,74387;41,282470703125;13,4557313919067;59,1;48,995102;11,3763561248779;630,5;7;1,71177661418915;1069;22,5;5,326;18,4;0,34300000667572;281,301361083984;664,7;21,8;4039,9;0;1;0;0;0;0
143,1775;75,3767318725586;1,734912;40,9531364440918;13,8574638366699;59,6;48,996229;11,513614654541;630,1;6,8;1,668044090271;1088,4;24,4;5,326;16;0,344000005722046;293,181274414062;658,8;21,8;4076,4;0;1;0;0;0;0
74,7145833333333;63,2006683349609;1,748557;44,7180633544922;13,5522012710571;54,5;48,99794;11,2652359008789;630,5;7;1,6671816110611;1069;25,8;5,326;19,7;0,34300000667572;249,059982299805;664,7;21,8;4039,9;0;1;0;0;0;0
67,2995833333333;63,2006683349609;1,748681;44,7180633544922;13,5522012710571;50,3;49,002878;11,2652359008789;632,8;7;1,6671816110611;1013,9;29,9;5,258;19,8;0,347000002861023;249,059982299805;683,7;21,6;3957,7;0;0;1;0;0;0
13,5375;63,2006683349609;1,748681;44,7180633544922;13,5522012710571;50,3;49,002878;11,2652359008789;632,8;7;1,6671816110611;1013,9;29,9;5,258;19,8;0,347000002861023;249,059982299805;683,7;21,6;3957,7;1;0;0;0;0;0
