"Richesse_tot";"gps_x";"bio4";"bio7";"CaCO3";"pH";"gps_y";"elevation";"bio18";"CEC";"P";"N";"bio15";"hurs_mean";"bio13";"bio10";"bio16";"gdd10";"bio5";"PET";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
2;4,73555715010989;6,357;25,3;151,319259643555;7,1;46,9369532669143;335,555999755859;206,6;25,0634231567383;43,3833503723145;1,61812746524811;14,4;616;88,5;19,85;248,8;1322,4;25,05;744,3;0;0;0;0;0;1
0;4,98074850554065;6,284;25,1;121,712242126465;7;47,226995501475;344,200805664062;213,5;23,9361782073975;48,1248741149902;1,78083097934723;14,3;626,9;89,9;19,35;239,5;1228,2;24,55;729,3;0;0;0;0;0;1
1;4,96239362213182;6,277;25;150,263107299805;7,2;47,1933031071565;348,538452148438;217,5;19,8142910003662;45,9551277160645;1,72785902023315;14,4;627,1;91,4;19,2500000000001;244,9;1225,3;24,45;725,4;0;0;0;0;0;1
1;4,95070099734787;6,315;25,2;119,225395202637;7;47,1448109622523;350,707275390625;209,5;22,0589008331299;50,234317779541;1,78509938716888;14,7;620,7;88,1;19,45;237,7;1262;24,7500000000001;711,6;0;0;0;0;0;1
1;4,97191091180374;6,308;25,1;116,448455810547;7,3;47,2028751559488;346,36962890625;213,9;24,0450820922852;44,8660850524902;1,78579831123352;14,4;626;89,9;19,35;240,5;1242,4;24,55;725,3;0;0;0;0;0;1
1;4,96259762133085;6,277;25;158,62744140625;7,1;47,1977070066512;348,538452148438;217,5;24,2503147125244;43,3354606628418;1,80345904827118;14,4;627,1;91,4;19,2500000000001;244,9;1225,3;24,45;725,4;0;0;0;0;0;1
1;4,96401537570208;6,261;25;158,62744140625;6,4;47,205261394821;348,538452148438;219,3;24,2503147125244;43,3354606628418;1,80345904827118;14,3;627,9;92,1;19,15;246,7;1199,7;24,35;734,1;0;0;0;0;0;1
1;4,94523848759171;6,341;25,2;113,487922668457;7,2;47,1374452515236;352,876098632812;208,7;17,6706924438477;44,8712387084961;1,6657167673111;14,7;620,3;87,8;19,55;237,3;1271,1;24,7500000000001;696,4;0;0;0;0;0;1
1;4,95633494112306;6,261;25;162,639495849609;6,6;47,1915111865862;350,707275390625;220,2;21,9797954559326;42,3879432678223;2,10432267189026;14,4;627,3;92,4;19,15;248,2;1199,7;24,35;745,5;0;0;0;0;0;1
4;5,07358393504652;6,221;24,6;115,032752990723;6,7;47,5117298470562;320,343780517578;207,7;21,988338470459;35,6264724731445;2,72350549697876;13,7;625,3;87,8;18,7500000000001;236,5;1134,3;23,85;726;0;0;0;1;0;0
5;-0,0737858906528548;5,474;24;67,9277801513672;6,4;43,6175792647693;247,702484130859;169,7;12,8505249023438;30,8067398071289;1,74552369117737;17,4;610,3;90,4;20,65;257,1;1628,8;26,15;854,5;0;0;0;0;0;1
5;-0,0616860290003829;5,495;24;98,5658950805664;6,7;43,5954894866857;248,498764038086;171,8;12,718056678772;18,2790126800537;1,95312702655792;17,7;612,6;92,4;20,65;263,3;1638;26,15;815,1;0;0;0;0;0;1
