"AB_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
106,25;4,82235498896534;47,3165165230259;92;263;254;268;23,231351108551;10,1;8,23;"OS_214";215;123;517;40,2;37,511351108551;2,29532837867736
100;4,65142705473489;47,3234482716792;88;295;136;312;20,9762997055053;9,45;8,27;"OS_214";257;169;431;36,3;79,5362997055053;2,22031071782112
137,5;5,36904183411706;47,3740316709327;43;307;184;424;15,9;9,92;7,27;"OS_214";85;42;491;27,5;15,9230720996856;1,6024275124073
156,25;5,10476933376817;47,4365790016364;42;319;195;372;20,3995198249816;10,7;7,91;"OS_214";114;72;514;35,3;20,9995198249816;1,90835207700729
162,5;5,12594416610213;47,4721531690896;57;276;138;418;30,6783242797851;11,4;8,28;"OS_214";168;111;414;53,1;68,1183242797851;2,69848644733428
181,25;5,08045578009374;47,3576736281389;64;304;186;429;18,1649380302429;10,9;8,08;"OS_214";81;17;490;31,4;19,6049380302429;1,66805565357208
125;5,21441600017076;47,100303499203;186;208;303;234;10,3645770645141;9,3;8,01;"OS_214";255;69;511;17,9;10,6045770645141;1,1140239238739
175;5,47024264349414;47,5535672562973;55;398;256;275;11,1;9,1;6,95;"OS_214";71;16;654;19,2;11,1280417442322;1,21968731284142
131,25;5,2090261668138;47,4836300018339;103;354;152;280;18,8839292399089;9,9;8,25;"OS_214";214;111;506;32,7;112,763929239909;1,90730743567149
162,5;5,27799399948009;47,2805310032603;91;336;363;181;9,61;11,2;6,6;"OS_214";120;29;699;16,6;9,61;0,86
93,75;5,15245733282204;47,3422703356303;84;263;172;414;14,82;9,69;8,16;"OS_214";151;67;435;25,6;19,5;1,53
143,75;5,35500600041932;47,4096281683066;46;392;292;247;10,6;10,1;6,54;"OS_214";69;23;684;18,3;10,63;1,05
131,25;5,29149083274755;47,0537816642993;77;363;320;172;8,15;9,61;6,57;"OS_214";145;68;683;14,1;8,15322518348694;0,848415940999985
100;5,06127016661694;47,258614836854;45;363;219;338;12,3007733345032;9,51;8,07;"OS_214";80;35;582;21,3;14,1007733345032;1,29316508769989
100;5,37955945914575;47,2649024996114;216;243;247;143;10,6;10,2;7;"OS_214";367;151;490;18,3;10,6200075149536;1,03575237095356
118,75;5,35857716613307;47,4649613327145;27;399;248;308;13,8643682003021;9,56;7,39;"OS_214";45;18;647;24;13,8643682003021;1,45006284117699
125;5,18860549994145;47,1334668309626;84;211;171;468;17,6012694835663;9,16;7,19;"OS_214";150;66;382;30,5;17,6012694835663;1,92235633730888
150;5,189597166814;47,459793334195;30;339;211;398;14,5143020153046;9,68;7,22;"OS_214";52;22;550;25,1;14,5143020153046;1,49949789047241
131,25;5,13011231600448;47,3982579803058;111;327;132;237;14,0033333333333;8,92;8,4;"OS_214";304;193;459;24,2;115,443333333333;1,57
168,75;5,12317149982911;47,3112575008547;184;192;155;422;18,3;9,6;7,68;"OS_214";231;47;347;31,7;18,3178722858429;1,90705195069313
137,5;5,17923750042602;47,0525653358438;186;249;291;114;10,5703973770142;9,62;5,55;"OS_210";346;160;540;18,3;10,5703973770142;1,09914273023605
125;4,64669049950595;47,271796336967;38;358;160;420;36,8339810562134;9,8;6,88;"OS_210";62;24;518;63,7;37,3139810562134;3,7592750787735
